Instance_Name	=	65_3_10_3
TLots	=	3
TVendors	=	10
TMaxSublots	=	3
MaxSublots=
<Lot,Vendor>
<0,0,0,>	=	2
<0,0,1,>	=	2
<0,1,0,>	=	1
<0,2,0,>	=	2
<0,2,1,>	=	2
<0,3,0,>	=	3
<0,3,1,>	=	3
<0,3,2,>	=	3
<0,4,0,>	=	3
<0,4,1,>	=	3
<0,4,2,>	=	3
<0,5,0,>	=	1
<0,6,0,>	=	3
<0,6,1,>	=	3
<0,6,2,>	=	3
<0,7,0,>	=	3
<0,7,1,>	=	3
<0,7,2,>	=	3
<0,8,0,>	=	2
<0,8,1,>	=	2
<0,9,0,>	=	1
<1,0,0,>	=	1
<1,1,0,>	=	2
<1,1,1,>	=	2
<1,2,0,>	=	3
<1,2,1,>	=	3
<1,2,2,>	=	3
<1,3,0,>	=	1
<1,4,0,>	=	3
<1,4,1,>	=	3
<1,4,2,>	=	3
<1,5,0,>	=	1
<1,6,0,>	=	3
<1,6,1,>	=	3
<1,6,2,>	=	3
<1,7,0,>	=	1
<1,8,0,>	=	2
<1,8,1,>	=	2
<1,9,0,>	=	1
<2,0,0,>	=	3
<2,0,1,>	=	3
<2,0,2,>	=	3
<2,1,0,>	=	1
<2,2,0,>	=	3
<2,2,1,>	=	3
<2,2,2,>	=	3
<2,3,0,>	=	1
<2,4,0,>	=	1
<2,5,0,>	=	1
<2,6,0,>	=	3
<2,6,1,>	=	3
<2,6,2,>	=	3
<2,7,0,>	=	3
<2,7,1,>	=	3
<2,7,2,>	=	3
<2,8,0,>	=	3
<2,8,1,>	=	3
<2,8,2,>	=	3
<2,9,0,>	=	2
<2,9,1,>	=	2

processing_at_suppliers=
<Lot,Vendor>
<0,0,>	=	20
<0,1,>	=	11
<0,2,>	=	2
<0,3,>	=	2
<0,4,>	=	3
<0,5,>	=	7
<0,6,>	=	4
<0,7,>	=	1
<0,8,>	=	1
<0,9,>	=	9
<1,0,>	=	15
<1,1,>	=	20
<1,2,>	=	16
<1,3,>	=	15
<1,4,>	=	17
<1,5,>	=	4
<1,6,>	=	5
<1,7,>	=	17
<1,8,>	=	6
<1,9,>	=	20
