Instance_Name	=	75_3_30_9
TLots	=	3
TVendors	=	30
TMaxSublots	=	9
MaxSublots=
<Lot,Vendor>
<0,0,0,>	=	5
<0,0,1,>	=	5
<0,0,2,>	=	5
<0,0,3,>	=	5
<0,0,4,>	=	5
<0,1,0,>	=	5
<0,1,1,>	=	5
<0,1,2,>	=	5
<0,1,3,>	=	5
<0,1,4,>	=	5
<0,2,0,>	=	5
<0,2,1,>	=	5
<0,2,2,>	=	5
<0,2,3,>	=	5
<0,2,4,>	=	5
<0,3,0,>	=	5
<0,3,1,>	=	5
<0,3,2,>	=	5
<0,3,3,>	=	5
<0,3,4,>	=	5
<0,4,0,>	=	3
<0,4,1,>	=	3
<0,4,2,>	=	3
<0,5,0,>	=	6
<0,5,1,>	=	6
<0,5,2,>	=	6
<0,5,3,>	=	6
<0,5,4,>	=	6
<0,5,5,>	=	6
<0,6,0,>	=	4
<0,6,1,>	=	4
<0,6,2,>	=	4
<0,6,3,>	=	4
<0,7,0,>	=	7
<0,7,1,>	=	7
<0,7,2,>	=	7
<0,7,3,>	=	7
<0,7,4,>	=	7
<0,7,5,>	=	7
<0,7,6,>	=	7
<0,8,0,>	=	9
<0,8,1,>	=	9
<0,8,2,>	=	9
<0,8,3,>	=	9
<0,8,4,>	=	9
<0,8,5,>	=	9
<0,8,6,>	=	9
<0,8,7,>	=	9
<0,8,8,>	=	9
<0,9,0,>	=	9
<0,9,1,>	=	9
<0,9,2,>	=	9
<0,9,3,>	=	9
<0,9,4,>	=	9
<0,9,5,>	=	9
<0,9,6,>	=	9
<0,9,7,>	=	9
<0,9,8,>	=	9
<0,10,0,>	=	7
<0,10,1,>	=	7
<0,10,2,>	=	7
<0,10,3,>	=	7
<0,10,4,>	=	7
<0,10,5,>	=	7
<0,10,6,>	=	7
<0,11,0,>	=	4
<0,11,1,>	=	4
<0,11,2,>	=	4
<0,11,3,>	=	4
<0,12,0,>	=	2
<0,12,1,>	=	2
<0,13,0,>	=	4
<0,13,1,>	=	4
<0,13,2,>	=	4
<0,13,3,>	=	4
<0,14,0,>	=	3
<0,14,1,>	=	3
<0,14,2,>	=	3
<0,15,0,>	=	6
<0,15,1,>	=	6
<0,15,2,>	=	6
<0,15,3,>	=	6
<0,15,4,>	=	6
<0,15,5,>	=	6
<0,16,0,>	=	9
<0,16,1,>	=	9
<0,16,2,>	=	9
<0,16,3,>	=	9
<0,16,4,>	=	9
