Instance_Name	=	49_40_10_3
TLots	=	40
TVendors	=	10
TMaxSublots	=	3
MaxSublots=
<Lot,Vendor>
<0,0,0,>	=	1
<0,1,0,>	=	3
<0,1,1,>	=	3
<0,1,2,>	=	3
<0,2,0,>	=	3
<0,2,1,>	=	3
<0,2,2,>	=	3
<0,3,0,>	=	2
<0,3,1,>	=	2
<0,4,0,>	=	1
<0,5,0,>	=	1
<0,6,0,>	=	2
<0,6,1,>	=	2
<0,7,0,>	=	2
<0,7,1,>	=	2
<0,8,0,>	=	1
<0,9,0,>	=	3
<0,9,1,>	=	3
<0,9,2,>	=	3
<1,0,0,>	=	1
<1,1,0,>	=	2
<1,1,1,>	=	2
<1,2,0,>	=	2
<1,2,1,>	=	2
<1,3,0,>	=	2
<1,3,1,>	=	2
<1,4,0,>	=	3
<1,4,1,>	=	3
<1,4,2,>	=	3
<1,5,0,>	=	2
<1,5,1,>	=	2
<1,6,0,>	=	1
<1,7,0,>	=	2
<1,7,1,>	=	2
<1,8,0,>	=	2
<1,8,1,>	=	2
<1,9,0,>	=	2
<1,9,1,>	=	2
<2,0,0,>	=	1
<2,1,0,>	=	3
<2,1,1,>	=	3
<2,1,2,>	=	3
<2,2,0,>	=	2
<2,2,1,>	=	2
<2,3,0,>	=	3
<2,3,1,>	=	3
<2,3,2,>	=	3
<2,4,0,>	=	1
<2,5,0,>	=	1
<2,6,0,>	=	2
<2,6,1,>	=	2
<2,7,0,>	=	3
<2,7,1,>	=	3
<2,7,2,>	=	3
<2,8,0,>	=	1
<2,9,0,>	=	3
<2,9,1,>	=	3
<2,9,2,>	=	3
<3,0,0,>	=	1
<3,1,0,>	=	2
<3,1,1,>	=	2
<3,2,0,>	=	1
<3,3,0,>	=	2
<3,3,1,>	=	2
<3,4,0,>	=	1
<3,5,0,>	=	1
<3,6,0,>	=	3
<3,6,1,>	=	3
<3,6,2,>	=	3
<3,7,0,>	=	2
<3,7,1,>	=	2
<3,8,0,>	=	1
<3,9,0,>	=	1
<4,0,0,>	=	2
<4,0,1,>	=	2
<4,1,0,>	=	2
<4,1,1,>	=	2
<4,2,0,>	=	3
<4,2,1,>	=	3
<4,2,2,>	=	3
<4,3,0,>	=	3
<4,3,1,>	=	3
<4,3,2,>	=	3
<4,4,0,>	=	1
<4,5,0,>	=	3
<4,5,1,>	=	3
<4,5,2,>	=	3
<4,6,0,>	=	1
<4,7,0,>	=	1
<4,8,0,>	=	1
<4,9,0,>	=	1
<5,0,0,>	=	1
<5,1,0,>	=	2
<5,1,1,>	=	2
<5,2,0,>	=	1
<5,3,0,>	=	2
<5,3,1,>	=	2
<5,4,0,>	=	2
<5,4,1,>	=	2
<5,5,0,>	=	3
<5,5,1,>	=	3
<5,5,2,>	=	3
<5,6,0,>	=	3
<5,6,1,>	=	3
<5,6,2,>	=	3
<5,7,0,>	=	1
<5,8,0,>	=	1
<5,9,0,>	=	2
<5,9,1,>	=	2
<6,0,0,>	=	3
<6,0,1,>	=	3
<6,0,2,>	=	3
<6,1,0,>	=	3
<6,1,1,>	=	3
<6,1,2,>	=	3
<6,2,0,>	=	2
<6,2,1,>	=	2
<6,3,0,>	=	1
<6,4,0,>	=	1
<6,5,0,>	=	3
<6,5,1,>	=	3
<6,5,2,>	=	3
<6,6,0,>	=	3
<6,6,1,>	=	3
<6,6,2,>	=	3
<6,7,0,>	=	1
<6,8,0,>	=	1
