Instance_Name	=	83_3_4_5
TLots	=	3
TVendors	=	4
TMaxSublots	=	5
MaxSublots=
<Lot,Vendor>
<0,0,0,>	=	5
<0,0,1,>	=	5
<0,0,2,>	=	5
<0,0,3,>	=	5
<0,0,4,>	=	5
<0,1,0,>	=	2
<0,1,1,>	=	2
<0,2,0,>	=	5
<0,2,1,>	=	5
<0,2,2,>	=	5
<0,2,3,>	=	5
<0,2,4,>	=	5
<0,3,0,>	=	5
<0,3,1,>	=	5
<0,3,2,>	=	5
<0,3,3,>	=	5
<0,3,4,>	=	5
<1,0,0,>	=	2
<1,0,1,>	=	2
<1,1,0,>	=	1
<1,2,0,>	=	1
<1,3,0,>	=	3
<1,3,1,>	=	3
<1,3,2,>	=	3
<2,0,0,>	=	2
<2,0,1,>	=	2
<2,1,0,>	=	3
<2,1,1,>	=	3
<2,1,2,>	=	3
<2,2,0,>	=	1
<2,3,0,>	=	2
<2,3,1,>	=	2

processing_at_suppliers=
<Lot,Vendor>
<0,0,>	=	2
<0,1,>	=	19
<0,2,>	=	20
<0,3,>	=	11
<1,0,>	=	15
<1,1,>	=	3
<1,2,>	=	15
<1,3,>	=	8
<2,0,>	=	12
<2,1,>	=	10
<2,2,>	=	3
<2,3,>	=	15

processing_at_assembly=
<Lot>
<0>	=	9
<1>	=	19
<2>	=	19

MinMakespan=
<Lot,Vendor,SubLot>
<0,0,0,>	=	11
<0,0,1,>	=	10
<0,0,2,>	=	10
<0,0,3,>	=	10
<0,0,4,>	=	10
<0,1,0,>	=	28
<0,1,1,>	=	18
<0,2,0,>	=	29
<0,2,1,>	=	21
<0,2,2,>	=	18
<0,2,3,>	=	16
<0,2,4,>	=	15
<0,3,0,>	=	20
<0,3,1,>	=	18
<0,3,2,>	=	16
<0,3,3,>	=	13
<0,3,4,>	=	11
<1,0,0,>	=	34
<1,0,1,>	=	32
<1,1,0,>	=	22
<1,2,0,>	=	34
<1,3,0,>	=	27
<1,3,1,>	=	25
<1,3,2,>	=	23
<2,0,0,>	=	31
<2,0,1,>	=	27
<2,1,0,>	=	29
<2,1,1,>	=	24
<2,1,2,>	=	23
<2,2,0,>	=	22
<2,3,0,>	=	34
<2,3,1,>	=	31

TransferCost=
<Lot,Vendor,SubLot>
<0,0,0,>	=	1
<0,0,1,>	=	2
<0,0,2,>	=	3
<0,0,3,>	=	4
<0,0,4,>	=	5
<0,1,0,>	=	2
<0,1,1,>	=	4
<0,2,0,>	=	2
<0,2,1,>	=	5
<0,2,2,>	=	8
<0,2,3,>	=	11
<0,2,4,>	=	13
<0,3,0,>	=	2
<0,3,1,>	=	4
<0,3,2,>	=	7
<0,3,3,>	=	10
<0,3,4,>	=	12
<1,0,0,>	=	1
<1,0,1,>	=	2
<1,1,0,>	=	3
<1,2,0,>	=	4
<1,3,0,>	=	3
<1,3,1,>	=	7
<1,3,2,>	=	12
<2,0,0,>	=	4
<2,0,1,>	=	8
<2,1,0,>	=	2
<2,1,1,>	=	4
<2,1,2,>	=	6
<2,2,0,>	=	1
<2,3,0,>	=	2
<2,3,1,>	=	5
